,movie_title,genres,audience_rating,tomatometer_rating
610,frozen,horror,46.0,63.0
611,frozen,mystery & suspense,46.0,63.0
612,prodigal sons,documentary,79.0,87.0
613,prodigal sons,special interest,79.0,87.0
614,the ghost writer,drama,70.0,84.0
615,the ghost writer,mystery & suspense,70.0,84.0
616,repo men,action & adventure,41.0,22.0
617,repo men,science fiction & fantasy,41.0,22.0
618,7 days (les 7 jours du talion),art house & international,68.0,80.0
619,7 days (les 7 jours du talion),horror,68.0,80.0
620,7 days (les 7 jours du talion),mystery & suspense,68.0,80.0
621,daddy longlegs,comedy,52.0,78.0
622,daddy longlegs,drama,52.0,78.0
623,veer,art house & international,47.0,40.0
624,veer,classics,47.0,40.0
625,veer,drama,47.0,40.0
626,winter's bone,drama,76.0,94.0
627,the kids are all right,comedy,74.0,92.0
628,the kids are all right,drama,74.0,92.0
629,lucky,documentary,39.0,60.0
630,lucky,special interest,39.0,60.0
631,high school,comedy,48.0,28.0
632,stolen,drama,39.0,0.0
633,stolen,mystery & suspense,39.0,0.0
634,the killing jar,drama,36.0,0.0
635,the killing jar,mystery & suspense,36.0,0.0
636,la mission,drama,72.0,50.0
637,predators,action & adventure,52.0,64.0
638,predators,horror,52.0,64.0
639,predators,science fiction & fantasy,52.0,64.0
640,stonewall uprising,documentary,76.0,84.0
641,stonewall uprising,special interest,76.0,84.0
642,the oath,documentary,79.0,91.0
643,the oath,special interest,79.0,91.0
644,the wild hunt,drama,74.0,82.0
645,the wild hunt,mystery & suspense,74.0,82.0
646,the wild hunt,science fiction & fantasy,74.0,82.0
647,arthur,comedy,77.0,88.0
648,arthur,romance,77.0,88.0
649,the lottery,documentary,76.0,64.0
650,the lottery,special interest,76.0,64.0
651,assault on precinct 13,action & adventure,80.0,98.0
652,assault on precinct 13,drama,80.0,98.0
653,assault on precinct 13,mystery & suspense,80.0,98.0
654,asylum,documentary,48.0,67.0
655,asylum,horror,48.0,67.0
656,asylum,mystery & suspense,48.0,67.0
657,asylum,science fiction & fantasy,48.0,67.0
658,asylum,special interest,48.0,67.0
659,asylum,romance,48.0,67.0
660,attack of the 50 foot woman,classics,20.0,75.0
661,attack of the 50 foot woman,science fiction & fantasy,20.0,75.0
662,avenging angel,action & adventure,25.0,33.0
663,avenging angel,drama,25.0,33.0
664,avenging angel,mystery & suspense,25.0,33.0
665,the aviator,action & adventure,41.0,20.0
666,the aviator,drama,41.0,20.0
